,RERA,BHK_NO.,SQUARE_FT,ADDRESS,TARGET(PRICE_IN_LACS)
10777,1,3,1814.0,Mohali,150.0
2863,0,5,1814.0,Noida,140.0
2845,1,3,1814.0,Dehradun,80.0
7490,0,4,1814.0,Bangalore,130.0
7487,0,4,1814.0,Lalitpur,100.0
7474,0,3,1814.0,Jaipur,180.0
16334,0,5,1814.0,Bangalore,110.0
16335,0,3,1814.0,Pune,150.0
24370,1,3,1814.0,Ghaziabad,100.0
2858,0,3,1814.0,Faridabad,69.8
16340,0,4,1814.0,Patna,150.0
24363,0,3,1814.0,Bangalore,110.0
16348,1,3,1814.0,Gandhinagar,63.0
24388,0,3,1814.0,Kochi,140.0
24353,0,4,1814.0,Ghaziabad,130.0
24347,0,3,1814.0,Gandhinagar,65.0
16369,0,3,1814.0,Bangalore,160.0
24327,0,3,1814.0,Bangalore,140.0
16377,0,3,1814.0,Noida,100.0
2873,1,3,1814.0,Mohali,120.0
16381,0,3,1814.0,Chennai,75.0
2879,1,4,1814.0,Noida,100.0
7447,1,3,1814.0,Indore,70.0
24299,0,4,1814.0,Ranchi,91.2
16303,0,3,1814.0,Ghaziabad,58.0
16302,1,3,1814.0,Jaipur,58.0
24285,1,3,1814.0,Mohali,120.0
2818,0,4,1814.0,Surat,100.0
16233,1,3,1814.0,Bangalore,150.0
16239,0,3,1814.0,Lucknow,110.0
24472,0,2,1814.0,Ludhiana,80.0
7530,0,3,1814.0,Bangalore,170.0
2811,0,3,1814.0,Bangalore,130.0
2812,1,3,1814.0,Bangalore,170.0
24467,0,3,1814.0,Faridabad,80.0
7521,0,3,1814.0,Secunderabad,81.0
24464,0,3,1814.0,Faridabad,60.0
24462,1,4,1814.0,Chandigarh,99.6
16273,1,4,1814.0,Ludhiana,140.0
2840,1,3,1814.0,Gandhinagar,67.0
24457,0,3,1814.0,Mangalore,100.0
16280,0,3,1814.0,Kolkata,95.0
7512,1,4,1814.0,Ghaziabad,56.0
16282,1,3,1814.0,Mohali,160.0
24442,0,2,1814.0,Visakhapatnam,31.0
24435,0,3,1814.0,Kolkata,99.0
24428,0,6,1814.0,Bangalore,180.0
16291,0,3,1814.0,Noida,97.0
24403,0,3,1814.0,Bangalore,82.0
24391,0,4,1814.0,Ghaziabad,100.0
24286,0,3,1814.0,Jaipur,190.0
16395,0,4,1814.0,Gurgaon,89.0
16221,0,4,1814.0,Mohali,41.6
24132,0,4,1814.0,Mangalore,130.0
24157,0,3,1814.0,Kolkata,92.0
16556,0,4,1814.0,Noida,130.0
2951,0,2,1814.0,Vijayawada,35.0
16558,1,3,1814.0,Gurgaon,150.0
2956,0,4,1814.0,Bhubaneswar,120.0
7346,0,3,1814.0,Kolkata,150.0
16571,0,4,1814.0,Noida,85.0
2960,0,3,1814.0,Bangalore,100.0
24135,0,5,1814.0,Udupi,95.0
7340,0,3,1814.0,Bangalore,96.0
16601,0,3,1814.0,Udaipur,60.0
16537,0,4,1814.0,Chandigarh,62.0
7312,0,3,1814.0,Surat,120.0
16612,1,3,1814.0,Chandigarh,75.0
24099,0,2,1814.0,Jalandhar,80.0
7303,1,3,1814.0,Faridabad,86.0
24090,0,3,1814.0,Bangalore,140.0
7298,0,3,1814.0,Faridabad,68.5
16631,0,4,1814.0,Noida,84.0
16636,1,4,1814.0,Mohali,78.0
16638,1,4,1814.0,Chandigarh,94.0
24080,1,3,1814.0,Noida,190.0
2937,1,4,1814.0,Bhopal,45.0
7364,0,4,1814.0,Vadodara,95.0
16397,0,6,1814.0,Bikaner,55.0
24242,0,3,1814.0,Bangalore,130.0
16420,0,4,1814.0,Noida,100.0
2898,1,3,1814.0,Bangalore,190.0
2899,1,3,1814.0,Jaipur,190.0
2900,1,3,1814.0,Chandigarh,74.0
7434,0,3,1814.0,Bangalore,140.0
7428,0,3,1814.0,Visakhapatnam,90.0
16430,0,3,1814.0,Ghaziabad,100.0
16434,0,3,1814.0,Valsad,54.0
16459,0,3,1814.0,Navsari,100.0
24246,0,3,1814.0,Rajkot,110.0
24240,1,3,1814.0,Vadodara,48.0
7369,0,3,1814.0,Bangalore,130.0
24232,0,4,1814.0,Ghaziabad,130.0
16463,0,3,1814.0,Faridabad,67.0
7400,1,3,1814.0,Bangalore,120.0
16480,1,4,1814.0,Noida,190.0
24205,1,3,1814.0,Chandigarh,71.7
2922,1,3,1814.0,Dehradun,87.4
16482,0,3,1814.0,Bangalore,100.0
16515,0,3,1814.0,Noida,78.0
2929,1,3,1814.0,Noida,86.4
2930,0,3,1814.0,Kota,150.0
16225,0,3,1814.0,Sonipat,55.0
16220,1,3,1814.0,Gurgaon,140.0
24077,0,3,1814.0,Mangalore,140.0
2680,0,3,1814.0,Bangalore,150.0
7710,1,3,1814.0,Noida,95.0
15962,0,3,1814.0,Chandigarh,71.0
24742,1,4,1814.0,Lalitpur,120.0
15964,0,4,1814.0,Surat,90.0
24734,0,3,1814.0,Bangalore,100.0
24732,1,4,1814.0,Chandigarh,70.9
15989,1,3,1814.0,Bahadurgarh,82.7
16000,0,3,1814.0,Sonipat,46.1
7687,1,3,1814.0,Noida,140.0
7667,0,4,1814.0,Sonipat,60.0
24678,1,4,1814.0,Chandigarh,77.9
2648,0,4,1814.0,Goa,85.0
24677,0,2,1814.0,Nellore,45.0
16020,0,4,1814.0,Faridabad,75.0
7658,1,3,1814.0,Noida,130.0
7656,1,3,1814.0,Gurgaon,81.2
2690,1,4,1814.0,Ghaziabad,130.0
2691,0,2,1814.0,Bangalore,41.0
7654,1,3,1814.0,Jaipur,100.0
2696,1,3,1814.0,Chandigarh,66.0
24659,0,3,1814.0,Bangalore,160.0
24653,0,4,1814.0,Faridabad,98.9
15958,0,3,1814.0,Udaipur,70.0
15941,0,4,1814.0,Sonipat,100.0
2705,0,3,1814.0,Bangalore,150.0
15858,1,3,1814.0,Jaipur,110.0
24824,0,3,1814.0,Coimbatore,120.0
15822,1,3,1814.0,Noida,120.0
24821,0,3,1814.0,Kolkata,100.0
24820,0,3,1814.0,Pune,180.0
15829,0,3,1814.0,Bangalore,99.0
15841,1,3,1814.0,Indore,70.8
15845,0,4,1814.0,Faridabad,58.0
2619,1,3,1814.0,Mohali,160.0
2621,1,3,1814.0,Dharuhera,90.0
2622,0,3,1814.0,Bangalore,160.0
15861,0,4,1814.0,Bhopal,100.0
2644,1,4,1814.0,Noida,180.0
15870,0,3,1814.0,Kolkata,95.0
2628,0,3,1814.0,Surat,92.0
15887,0,2,1814.0,Chennai,50.0
2632,0,3,1814.0,Bangalore,130.0
24785,0,3,1814.0,Jaipur,180.0
7749,1,3,1814.0,Lucknow,75.4
2637,0,4,1814.0,Bangalore,140.0
7741,0,3,1814.0,Kochi,130.0
24770,0,3,1814.0,Coimbatore,120.0
15934,0,3,1814.0,Agra,110.0
16045,0,3,1814.0,Bangalore,140.0
24644,1,3,1814.0,Jalandhar,59.0
16219,0,3,1814.0,Bangalore,95.0
24532,0,3,1814.0,Chandigarh,110.0
7571,0,3,1814.0,Chennai,160.0
24562,0,3,1814.0,Indore,85.0
24557,1,3,1814.0,Bangalore,150.0
24556,0,3,1814.0,Faridabad,93.0
7569,0,3,1814.0,Noida,120.0
24540,1,4,1814.0,Lucknow,100.0
16191,0,4,1814.0,Ambala,54.0
2768,0,6,1814.0,Bangalore,170.0
2769,0,3,1814.0,Bangalore,120.0
16192,0,4,1814.0,Vadodara,95.0
16197,0,3,1814.0,Bangalore,170.0
16180,0,3,1814.0,Dehradun,120.0
2775,0,3,1814.0,Bhubaneswar,88.0
24526,0,5,1814.0,Sonipat,97.0
7554,0,3,1814.0,Bangalore,110.0
16204,1,3,1814.0,Bangalore,140.0
2785,1,3,1814.0,Noida,190.0
2786,0,3,1814.0,Vadodara,120.0
2790,0,4,1814.0,Chandigarh,130.0
16209,0,3,1814.0,Bangalore,150.0
24493,1,3,1814.0,Mohali,120.0
24490,0,3,1814.0,Belgaum,90.0
24571,0,3,1814.0,Gurgaon,140.0
7579,1,4,1814.0,Noida,100.0
16066,0,3,1814.0,Kolkata,97.0
24605,0,3,1814.0,Jaipur,100.0
24641,0,3,1814.0,Chandigarh,52.3
2709,1,4,1814.0,Chandigarh,99.4
16076,0,4,1814.0,Kolkata,110.0
16087,0,6,1814.0,Kolkata,130.0
7620,0,4,1814.0,Bhopal,55.0
24631,0,3,1814.0,Faridabad,55.3
24628,0,1,1814.0,Lalitpur,50.0
24627,0,2,1814.0,Lalitpur,65.0
24625,0,3,1814.0,Chandigarh,79.1
16101,0,5,1814.0,Panchkula,110.0
7605,0,3,1814.0,Mohali,130.0
24576,0,4,1814.0,Kolkata,170.0
24602,0,4,1814.0,Vadodara,98.0
16104,0,4,1814.0,Chennai,130.0
7602,0,4,1814.0,Bangalore,190.0
2733,0,3,1814.0,Mohali,160.0
24585,0,3,1814.0,Bangalore,150.0
16141,0,3,1814.0,Kolkata,90.0
16143,0,4,1814.0,Agra,100.0
24579,0,3,1814.0,Jalandhar,50.0
2746,0,3,1814.0,Kolkata,70.0
7588,1,3,1814.0,Gurgaon,190.0
7289,0,3,1814.0,Bangalore,150.0
24067,0,4,1814.0,Panchkula,180.0
26217,0,3,1814.0,Gandhinagar,81.0
23590,0,3,1814.0,Vadodara,120.0
23625,0,3,1814.0,Noida,95.8
23618,1,3,1814.0,Ghaziabad,59.2
6983,0,3,1814.0,Visakhapatnam,85.0
17160,0,6,1814.0,Coimbatore,180.0
6973,0,3,1814.0,Anand,40.0
23607,1,3,1814.0,Noida,90.5
23606,1,3,1814.0,Noida,94.0
23595,1,3,1814.0,Jaipur,130.0
17219,1,3,1814.0,Noida,170.0
3278,1,3,1814.0,Mohali,80.0
17221,1,3,1814.0,Mohali,150.0
17154,1,3,1814.0,Bangalore,160.0
3284,1,4,1814.0,Pune,120.0
17226,1,3,1814.0,Chandigarh,76.2
23586,0,4,1814.0,Bahadurgarh,51.1
17227,1,3,1814.0,Mohali,130.0
17228,1,4,1814.0,Chandigarh,75.0
17231,0,4,1814.0,Rudrapur,58.0
17234,0,3,1814.0,Jaipur,110.0
6940,0,3,1814.0,Chandigarh,71.0
23552,1,3,1814.0,Noida,150.0
23548,1,4,1814.0,Surat,78.1
6986,0,3,1814.0,Kottayam,98.0
17151,0,2,1814.0,Nagpur,32.0
6929,0,4,1814.0,Indore,57.5
23664,0,3,1814.0,Bhubaneswar,130.0
17039,1,3,1814.0,Noida,160.0
17072,0,3,1814.0,Jamshedpur,69.0
17077,0,6,1814.0,Jamshedpur,120.0
23693,0,4,1814.0,Bhubaneswar,150.0
23686,1,3,1814.0,Gandhinagar,86.0
3223,0,3,1814.0,Udupi,80.0
23678,1,3,1814.0,Bangalore,140.0
7032,1,3,1814.0,Pune,170.0
3228,0,3,1814.0,Kolkata,170.0
23667,0,3,1814.0,Lalitpur,180.0
3235,1,3,1814.0,Pune,180.0
23630,0,3,1814.0,Maharashtra,130.0
17092,0,2,1814.0,Ghaziabad,45.0
17095,0,3,1814.0,Gurgaon,130.0
17105,0,4,1814.0,Bangalore,120.0
23647,0,3,1814.0,Mumbai,130.0
23644,1,3,1814.0,Chandigarh,56.0
17121,0,3,1814.0,Kolkata,88.0
17132,0,3,1814.0,Gurgaon,180.0
23633,0,3,1814.0,Faridabad,68.0
17134,0,3,1814.0,Lalitpur,24.9
17143,1,3,1814.0,Chandigarh,57.5
6936,1,3,1814.0,Chandigarh,67.0
17270,0,3,1814.0,Jaipur,160.0
17026,1,3,1814.0,Panipat,29.9
17413,1,3,1814.0,Pune,130.0
17380,0,3,1814.0,Bangalore,110.0
23381,1,3,1814.0,Gandhinagar,99.0
17385,0,3,1814.0,Panchkula,59.9
17395,1,3,1814.0,Faridabad,93.8
6844,1,3,1814.0,Gurgaon,120.0
3375,0,4,1814.0,Bangalore,67.0
23372,0,4,1814.0,Sonipat,65.0
23371,1,3,1814.0,Noida,170.0
6843,1,4,1814.0,Gurgaon,190.0
17411,0,4,1814.0,Chandigarh,100.0
6834,1,3,1814.0,Pune,160.0
17371,0,3,1814.0,Surat,79.7
6831,0,3,1814.0,Pune,140.0
23360,0,3,1814.0,Faridabad,46.0
23357,0,2,1814.0,Ghaziabad,60.0
23356,0,4,1814.0,Kolkata,120.0
3393,0,3,1814.0,Gurgaon,170.0
17439,0,3,1814.0,Jaipur,130.0
17443,0,4,1814.0,Kolkata,130.0
23350,0,4,1814.0,Noida,80.0
23344,0,3,1814.0,Bhubaneswar,100.0
23339,0,3,1814.0,Bangalore,160.0
23398,0,3,1814.0,Thrissur,35.0
